Area(in^2),Density(pcf),Thickness(in),Weight(lbf),Fragility(G)
50,1.25,0.75,100,49.50554368
50,1.25,0.75,114.4444444,33.96342652
50,1.25,0.75,128.8888889,36.33730457
50,1.25,0.75,143.3333333,39.11048356
50,1.25,1,100,31.94614471
50,1.25,1,114.4444444,23.67052596
50,1.25,1,128.8888889,23.95988259
50,1.25,1,143.3333333,24.75714549
50,1.25,1,157.7777778,26.25746508
50,1.25,1,172.2222222,27.96934247
50,1.25,1.25,100,24.9438046
50,1.25,1.25,114.4444444,19.79968948
50,1.25,1.25,128.8888889,19.08936272
50,1.25,1.25,143.3333333,19.21381883
50,1.25,1.25,157.7777778,19.38601241
50,1.25,1.25,172.2222222,20.05548578
50,1.25,1.5,100,22.24748611
50,1.25,1.5,114.4444444,18.21564648
50,1.25,1.5,128.8888889,16.87293405
50,1.25,1.5,143.3333333,16.19733068
50,1.25,1.5,157.7777778,15.56791825
50,1.25,1.5,172.2222222,15.54703184
50,1.25,1.75,100,21.10670766
50,1.25,1.75,114.4444444,17.18598333
50,1.25,1.75,128.8888889,15.84038328
50,1.25,1.75,143.3333333,15.14870357
50,1.25,1.75,157.7777778,14.48341868
50,1.25,1.75,172.2222222,14.16586295
50,1.25,2,100,20.25112381
50,1.25,2,114.4444444,16.41373597
50,1.25,2,128.8888889,15.0659702
50,1.25,2,143.3333333,14.36223324
50,1.25,2,157.7777778,13.67004401
50,1.25,2,172.2222222,13.12998628
50,1.25,2.25,100,19.37384688
50,1.25,2.25,114.4444444,15.81309913
50,1.25,2.25,128.8888889,14.46364892
50,1.25,2.25,143.3333333,13.75053409
50,1.25,2.25,157.7777778,13.03741926
50,1.25,2.25,172.2222222,12.32430443
50,1.25,2.5,100,18.67202533
50,1.25,2.5,114.4444444,15.47448904
50,1.25,2.5,128.8888889,14.12764018
50,1.25,2.5,143.3333333,13.350252
50,1.25,2.5,157.7777778,12.57286382
50,1.25,2.5,172.2222222,11.79547564
50,1.25,2.75,100,18.0978077
50,1.25,2.75,114.4444444,15.19744442
50,1.25,2.75,128.8888889,13.85272393
50,1.25,2.75,143.3333333,13.02274847
50,1.25,2.75,157.7777778,12.19277301
50,1.25,2.75,172.2222222,11.36279755
50,1.25,3,100,17.619293
50,1.25,3,114.4444444,14.9665739
50,1.25,3,128.8888889,13.62362707
50,1.25,3,143.3333333,12.74982887
50,1.25,3,157.7777778,11.87603067
50,1.25,3,172.2222222,11.00223247
50,1.5,0.75,100,40.23255814
50,1.5,0.75,114.4444444,29.82488003
50,1.5,0.75,128.8888889,30.38730159
50,1.5,0.75,143.3333333,30.97966521
50,1.5,0.75,157.7777778,32.40609669
50,1.5,0.75,172.2222222,33.83252818
50,1.5,1,100,30.29767442
50,1.5,1,114.4444444,24.22356433
50,1.5,1,128.8888889,23.03711765
50,1.5,1,143.3333333,22.4310197
50,1.5,1,157.7777778,22.03639783
50,1.5,1,172.2222222,21.83185141
50,1.5,1.25,100,26.59347274
50,1.5,1.25,114.4444444,21.43661105
50,1.5,1.25,128.8888889,19.9469126
50,1.5,1.25,143.3333333,18.45721414
50,1.5,1.25,157.7777778,17.74651768
50,1.5,1.25,172.2222222,17.26432578
50,1.5,1.5,100,24.55540356
50,1.5,1.5,114.4444444,19.88805502
50,1.5,1.5,128.8888889,18.08427273
50,1.5,1.5,143.3333333,16.28049044
50,1.5,1.5,157.7777778,15.78978493
50,1.5,1.5,172.2222222,15.30011442
50,1.5,1.75,100,22.96905247
50,1.5,1.75,114.4444444,19.09108343
50,1.5,1.75,128.8888889,17.3881337
50,1.5,1.75,143.3333333,15.68518396
50,1.5,1.75,157.7777778,14.84614496
50,1.5,1.75,172.2222222,14.10052397
50,1.5,2,100,21.77928916
50,1.5,2,114.4444444,18.49335475
50,1.5,2,128.8888889,16.86602942
50,1.5,2,143.3333333,15.2387041
50,1.5,2,157.7777778,14.13841499
50,1.5,2,172.2222222,13.20083114
50,1.5,2.25,100,21.30247184
50,1.5,2.25,114.4444444,18.02845466
50,1.5,2.25,128.8888889,16.45994832
50,1.5,2.25,143.3333333,14.89144198
50,1.5,2.25,157.7777778,13.58795834
50,1.5,2.25,172.2222222,12.50107005
50,1.5,2.5,100,20.92101799
50,1.5,2.5,114.4444444,17.72370016
50,1.5,2.5,128.8888889,16.0909478
50,1.5,2.5,143.3333333,14.46393638
50,1.5,2.5,157.7777778,13.2088629
50,1.5,2.5,172.2222222,12.1270657
50,1.5,2.75,100,20.60891938
50,1.5,2.75,114.4444444,17.47435557
50,1.5,2.75,128.8888889,15.78903829
50,1.5,2.75,143.3333333,14.11415907
50,1.5,2.75,157.7777778,12.8986939
50,1.5,2.75,172.2222222,11.82106214
50,1.5,3,100,20.34883721
50,1.5,3,114.4444444,17.26656841
50,1.5,3,128.8888889,15.53744703
50,1.5,3,143.3333333,13.82267798
50,1.5,3,157.7777778,12.64021973
50,1.5,3,172.2222222,11.56605917
50,2,0.75,100,41.27777778
50,2,0.75,114.4444444,30.72929293
50,2,0.75,128.8888889,30.2040404
50,2,0.75,143.3333333,30.39700375
50,2,0.75,157.7777778,31.04619226
50,2,0.75,172.2222222,31.69538077
50,2,1,100,32.47368421
50,2,1,114.4444444,26.94301493
50,2,1,128.8888889,24.65511591
50,2,1,143.3333333,23.63829787
50,2,1,157.7777778,23.17730496
50,2,1,172.2222222,22.71631206
50,2,1.25,100,29.38067727
50,2,1.25,114.4444444,25.30958809
50,2,1.25,128.8888889,22.78333232
50,2,1.25,143.3333333,21.27929078
50,2,1.25,157.7777778,20.4372104
50,2,1.25,172.2222222,19.59513002
50,2,1.5,100,28.98130841
50,2,1.5,114.4444444,23.85185185
50,2,1.5,128.8888889,21.58605664
50,2,1.5,143.3333333,19.78333333
50,2,1.5,157.7777778,19.06111111
50,2,1.5,172.2222222,18.33888889
50,2,1.75,100,27.3449305
50,2,1.75,114.4444444,23.21819672
50,2,1.75,128.8888889,21.02340123
50,2,1.75,143.3333333,19.4450899
50,2,1.75,157.7777778,18.48420777
50,2,1.75,172.2222222,17.52332564
50,2,2,100,26.11764706
50,2,2,114.4444444,22.74295536
50,2,2,128.8888889,20.60140966
50,2,2,143.3333333,19.19140733
50,2,2,157.7777778,18.05153027
50,2,2,172.2222222,16.91165321
50,2,2.25,100,25.66006117
50,2,2.25,114.4444444,22.3733232
50,2,2.25,128.8888889,20.273194
50,2,2.25,143.3333333,18.99409866
50,2,2.25,157.7777778,17.71500332
50,2,2.25,172.2222222,16.43590798
50,2,2.5,100,25.29399246
50,2,2.5,114.4444444,21.65440686
50,2,2.5,128.8888889,19.65224839
50,2,2.5,143.3333333,18.40612929
50,2,2.5,157.7777778,17.16001019
50,2,2.5,172.2222222,15.91389109
50,2,2.75,100,24.99448169
50,2,2.75,114.4444444,21.06620258
50,2,2.75,128.8888889,19.14420198
50,2,2.75,143.3333333,17.92506344
50,2,2.75,157.7777778,16.70592491
50,2,2.75,172.2222222,15.48678637
50,2,3,100,24.74488939
50,2,3,114.4444444,20.57603235
50,2,3,128.8888889,18.72082997
50,2,3,143.3333333,17.52417523
50,2,3,157.7777778,16.3275205
50,2,3,172.2222222,15.13086577
77.66666667,1.25,0.75,100,40.96779786
77.66666667,1.25,0.75,114.4444444,32.27050862
77.66666667,1.25,0.75,128.8888889,31.42113746
77.66666667,1.25,0.75,143.3333333,31.70790612
77.66666667,1.25,0.75,157.7777778,31.99467479
77.66666667,1.25,0.75,172.2222222,33.37642267
77.66666667,1.25,0.75,186.6666667,34.90467034
77.66666667,1.25,0.75,201.1111111,20.59347743
77.66666667,1.25,0.75,215.5555556,21.01697255
77.66666667,1.25,0.75,230,21.44046768
77.66666667,1.25,1,100,34.09654102
77.66666667,1.25,1,114.4444444,27.44646017
77.66666667,1.25,1,128.8888889,25.89880084
77.66666667,1.25,1,143.3333333,24.35114151
77.66666667,1.25,1,157.7777778,23.90412375
77.66666667,1.25,1,172.2222222,23.73535173
77.66666667,1.25,1,186.6666667,23.56657971
77.66666667,1.25,1,201.1111111,16.84572256
77.66666667,1.25,1,215.5555556,16.41078477
77.66666667,1.25,1,230,15.97584698
77.66666667,1.25,1.25,100,30.02030672
77.66666667,1.25,1.25,114.4444444,27.33937953
77.66666667,1.25,1.25,128.8888889,25.25788643
77.66666667,1.25,1.25,143.3333333,23.17639332
77.66666667,1.25,1.25,157.7777778,21.26926042
77.66666667,1.25,1.25,172.2222222,20.20751039
77.66666667,1.25,1.25,186.6666667,19.14576035
77.66666667,1.25,1.25,201.1111111,15.39924496
77.66666667,1.25,1.25,215.5555556,14.94981777
77.66666667,1.25,1.25,230,14.50039057
77.66666667,1.25,1.5,100,29.36874559
77.66666667,1.25,1.5,114.4444444,28.81798692
77.66666667,1.25,1.5,128.8888889,25.79135525
77.66666667,1.25,1.5,143.3333333,22.76472357
77.66666667,1.25,1.5,157.7777778,20.02936498
77.66666667,1.25,1.5,172.2222222,18.71897184
77.66666667,1.25,1.5,186.6666667,17.4085787
77.66666667,1.25,1.5,201.1111111,14.43492656
77.66666667,1.25,1.5,215.5555556,13.97583976
77.66666667,1.25,1.5,230,13.51675296
77.66666667,1.25,1.75,100,30.78353016
77.66666667,1.25,1.75,114.4444444,27.16983665
77.66666667,1.25,1.75,128.8888889,24.3271054
77.66666667,1.25,1.75,143.3333333,21.48437415
77.66666667,1.25,1.75,157.7777778,18.8875256
77.66666667,1.25,1.75,172.2222222,17.65817865
77.66666667,1.25,1.75,186.6666667,16.42883169
77.66666667,1.25,1.75,201.1111111,13.95121585
77.66666667,1.25,1.75,215.5555556,13.43301806
77.66666667,1.25,1.75,230,12.91482027
77.66666667,1.25,2,100,31.84461859
77.66666667,1.25,2,114.4444444,25.93372395
77.66666667,1.25,2,128.8888889,23.22891801
77.66666667,1.25,2,143.3333333,20.52411208
77.66666667,1.25,2,157.7777778,18.03114606
77.66666667,1.25,2,172.2222222,16.86258375
77.66666667,1.25,2,186.6666667,15.69402144
77.66666667,1.25,2,201.1111111,13.58843282
77.66666667,1.25,2,215.5555556,13.02590179
77.66666667,1.25,2,230,12.46337076
77.66666667,1.25,2.25,100,30.41969028
77.66666667,1.25,2.25,114.4444444,24.97230296
77.66666667,1.25,2.25,128.8888889,22.37477227
77.66666667,1.25,2.25,143.3333333,19.77724158
77.66666667,1.25,2.25,157.7777778,17.36507309
77.66666667,1.25,2.25,172.2222222,16.24378772
77.66666667,1.25,2.25,186.6666667,15.12250235
77.66666667,1.25,2.25,201.1111111,13.30626823
77.66666667,1.25,2.25,215.5555556,12.70925579
77.66666667,1.25,2.25,230,12.11224335
77.66666667,1.25,2.5,100,29.27974763
77.66666667,1.25,2.5,114.4444444,24.59099624
77.66666667,1.25,2.5,128.8888889,21.91736233
77.66666667,1.25,2.5,143.3333333,19.24372842
77.66666667,1.25,2.5,157.7777778,17.0508166
77.66666667,1.25,2.5,172.2222222,15.911936
77.66666667,1.25,2.5,186.6666667,14.77958474
77.66666667,1.25,2.5,201.1111111,13.08053657
77.66666667,1.25,2.5,215.5555556,12.455939
77.66666667,1.25,2.5,230,11.83134143
77.66666667,1.25,2.75,100,28.34706728
77.66666667,1.25,2.75,114.4444444,24.27901802
77.66666667,1.25,2.75,128.8888889,21.54311783
77.66666667,1.25,2.75,143.3333333,18.80721765
77.66666667,1.25,2.75,157.7777778,16.79369765
77.66666667,1.25,2.75,172.2222222,15.64042096
77.66666667,1.25,2.75,186.6666667,14.49901579
77.66666667,1.25,2.75,201.1111111,12.89584702
77.66666667,1.25,2.75,215.5555556,12.2486798
77.66666667,1.25,2.75,230,11.60151259
77.66666667,1.25,3,100,27.56983365
77.66666667,1.25,3,114.4444444,24.01903616
77.66666667,1.25,3,128.8888889,21.23124742
